가조시간(hr),생산자물가,30일평균최저기온,30일평균최고기온,평균 증기압(hPa),연,월,일,30일강우횟수,가격
0,10.5,1.1928,0.0,0.3,3.1,2016,2,1,0,6413
1,10.5,1.1928,0.0,0.2,2.7,2016,2,2,0,6413
2,10.5,1.1928,-0.1,0.1,3.4,2016,2,3,0,6413
3,10.6,1.1928,-0.0,0.1,3.6,2016,2,4,0,6217
4,10.6,1.1928,0.0,0.2,3.5,2016,2,5,0,6217
5,10.6,1.1928,-0.1,0.3,3.5,2016,2,6,0,6217
6,10.7,1.1928,0.0,0.3,3.0,2016,2,7,0,6217
7,10.7,1.1928,0.1,0.2,4.3,2016,2,8,0,6217
8,10.7,1.1928,-0.1,0.1,3.8,2016,2,9,0,6217
9,10.7,1.1928,-0.2,-0.1,3.8,2016,2,10,0,6217
10,10.8,1.1928,-0.2,0.0,7.1,2016,2,11,0,6117
11,10.8,1.1928,-0.2,0.0,15.0,2016,2,12,0,6117
12,10.8,1.1928,-0.2,0.0,15.5,2016,2,13,0,6117
13,10.9,1.1928,-0.3,-0.1,5.4,2016,2,14,0,6117
14,10.9,1.1928,-0.4,0.0,3.8,2016,2,15,0,6117
15,10.9,1.1928,-0.3,0.4,4.6,2016,2,16,0,5617
16,11.0,1.1928,0.0,0.6,4.1,2016,2,17,0,5617
17,11.0,1.1928,0.0,0.6,5.1,2016,2,18,0,5617
18,11.1,1.1928,0.0,0.3,5.6,2016,2,19,0,5617
19,11.1,1.1928,0.1,0.4,3.7,2016,2,20,0,5617
20,11.1,1.1928,0.0,0.5,3.1,2016,2,21,0,5617
21,11.2,1.1928,-0.0,0.2,3.4,2016,2,22,0,5450
22,11.2,1.1928,-0.1,0.2,3.6,2016,2,23,0,5750
23,11.2,1.1928,-0.2,0.3,2.9,2016,2,24,0,5917
24,11.3,1.1928,-0.2,0.3,3.1,2016,2,25,0,5783
25,11.3,1.1928,-0.2,0.3,6.0,2016,2,26,0,5783
26,11.3,1.1928,-0.1,0.3,6.2,2016,2,27,0,5783
27,11.4,1.1928,-0.1,0.2,7.4,2016,2,28,0,5783
28,11.4,1.1928,-0.2,0.4,3.6,2016,2,29,0,5783
29,11.4,1.455,-0.1,0.6,3.3,2016,3,1,0,5783
30,11.5,1.455,0.1,0.5,5.0,2016,3,2,0,5783
31,11.5,1.455,-0.2,0.6,8.2,2016,3,3,0,5547
32,11.6,1.455,-0.0,0.5,13.7,2016,3,4,0,5547
33,11.6,1.455,0.2,0.5,15.9,2016,3,5,0,5547
34,11.6,1.455,0.0,0.6,9.4,2016,3,6,0,5547
35,11.7,1.455,-0.3,0.2,8.9,2016,3,7,0,5547
36,11.7,1.455,-0.4,-0.1,6.0,2016,3,8,0,5547
37,11.7,1.455,-0.4,-0.1,3.8,2016,3,9,0,5713
38,11.8,1.455,-0.4,0.5,2.7,2016,3,10,0,6300
39,11.8,1.455,-0.1,0.9,3.1,2016,3,11,0,6300
40,11.9,1.455,0.1,1.0,2.8,2016,3,12,0,6300
41,11.9,1.455,0.1,0.8,5.1,2016,3,13,0,6300
42,11.9,1.455,0.1,0.6,5.2,2016,3,14,0,6300
43,12.0,1.455,-0.0,0.7,4.3,2016,3,15,0,6300
44,12.0,1.455,0.0,0.5,6.0,2016,3,16,0,6133
45,12.0,1.455,-0.2,0.2,7.5,2016,3,17,0,5633
46,12.1,1.455,-0.3,0.5,13.5,2016,3,18,0,5633
47,12.1,1.455,-0.2,0.7,8.7,2016,3,19,0,5633
48,12.1,1.455,0.1,0.8,7.5,2016,3,20,0,5633
49,12.2,1.455,-0.2,0.8,7.4,2016,3,21,0,5633
50,12.2,1.455,-0.2,0.2,6.5,2016,3,22,0,5633
51,12.3,1.455,-0.3,0.5,5.4,2016,3,23,0,5633
52,12.3,1.455,-0.3,1.0,4.6,2016,3,24,0,5300
53,12.3,1.455,0.0,1.2,5.5,2016,3,25,0,5300
54,12.4,1.455,0.3,1.1,5.4,2016,3,26,0,5300
55,12.4,1.455,0.4,1.3,4.7,2016,3,27,0,5300
56,12.4,1.455,0.5,1.0,5.7,2016,3,28,0,5300
57,12.5,1.455,0.2,1.2,9.0,2016,3,29,0,5300
58,12.6,1.8067,-0.3,0.2,7.0,2016,4,1,0,5500
59,12.6,1.8067,-0.4,0.2,9.7,2016,4,2,0,5500
60,12.6,1.8067,-0.5,0.7,13.6,2016,4,3,0,5500
61,12.7,1.8067,0.0,1.0,12.4,2016,4,4,0,5500
62,12.7,1.8067,0.1,1.2,5.5,2016,4,5,0,5500
63,12.8,1.8067,0.1,1.3,7.5,2016,4,6,0,5500
64,12.8,1.8067,0.3,1.3,12.8,2016,4,7,0,5167
65,12.8,1.8067,0.1,1.4,10.2,2016,4,8,0,5167
66,12.9,1.8067,0.1,0.9,9.3,2016,4,9,0,5167
67,12.9,1.8067,0.0,1.0,10.7,2016,4,10,0,5167
68,12.9,1.8067,-0.1,1.0,10.9,2016,4,11,0,5167
69,13.0,1.8067,0.1,1.4,9.6,2016,4,12,0,5167
70,13.0,1.8067,0.0,1.5,18.1,2016,4,13,0,5167
71,13.0,1.8067,-0.0,0.9,13.3,2016,4,14,0,4733
72,13.1,1.8067,-0.3,0.8,9.5,2016,4,15,0,4733
73,13.1,1.8067,-0.3,1.2,14.7,2016,4,16,0,4733
74,13.2,1.8067,-0.0,1.4,9.3,2016,4,17,0,4733
75,13.2,1.8067,0.3,1.5,10.1,2016,4,18,0,4733
76,13.2,1.8067,0.3,2.0,8.3,2016,4,19,0,4817
77,13.3,1.8067,0.7,1.9,10.3,2016,4,20,0,4650
78,13.3,1.8067,0.7,1.9,16.7,2016,4,21,0,4763
